x_0,y
345480919.47919995,1.25197781355385e-12
56391912.152776286,4.52040589558869e-11
1107878.003556257,6.0285284004151e-09
92513800.54416063,1.74411703560097e-11
7194526.310717806,4.58781311354338e-10
4033265.487780592,1.0426292515021502e-09
16637024.37312621,2.54889873007776e-10
2880395519.890008,3.90791471321292e-18
73856807.51518553,2.3800652704109798e-11
193436814.56583145,2.58033146120896e-12
1062832.0777934375,5.31804468137729e-09
1439401536.6055944,2.23393180725267e-15
1109009583.401117,1.3319115981612801e-14
17907430.2276206,2.10282692256813e-10
746902337.7434871,1.06341197969468e-13
3715699.97428111,9.85864340131703e-10
6248190.156704838,5.07486585980247e-10
349607351.72939414,1.3291567998565198e-12
2975868.720296744,1.7232737148093701e-09
3833104.393835913,1.29010355236519e-09
2110828.912646358,2.64943394415441e-09
75957990.95384303,2.6397422915306298e-11
241127016.37592155,4.04477759723041e-12
4246433.352569745,9.32991452174419e-10
3271851.0845194254,1.6889353463643e-09
536769200.7493362,4.47025497479264e-13
339314374.55283046,1.32244686011712e-12
