x_0,x_1,y
5412767938301516.0,3881.094715075921,1.9075237845945e-32
8830175651366.816,1696.4421445546866,3.65078762689554e-11
82070507962.13374,284.08818151167566,6.09145724733477e-16
737863203274293.1,3428.3840905169545,2.03602886398965e-10
328732856074.9802,234.08668915575967,6.7914628149161106e-15
67813202392.79768,2861.2168913277355,4.258821456556141e-15
36121075971.0846,2229.2620432193344,8.408887018525501e-16
1867744368432.5425,304.1715650890799,2.42302259605006e-13
4734118628.852537,4338.113634170132,2.95753600115404e-17
39795508181.22034,1193.6999011315695,4.83258247327627e-16
4620857761724.763,247.56992685086897,1.0064553934223199e-12
53144556585312.22,622.1533223745946,3.21566738404255e-11
2118866018403492.8,783.0082805275688,5.5240394331909806e-61
1373697651448914.2,1308.2660532429272,4.7154708047883596e-27
317346818984.65137,207.1668671365234,6.3590995226982305e-15
16984340221.606134,1952.3805985650567,1.56114560706772e-16
32113990961.205463,132.51695096445428,4.396160574018e-17
1861813816.794681,510.7936347123271,4.811916018073221e-19
4715659443760550.0,164.91266287608255,0.0
15100530759.83766,4807.0850909429255,3.56110716146437e-16
897927439915.419,137.55264029148563,2.6995645768738102e-14
730655792748.4115,2931.6749469429683,4.73060543939481e-13
149723357302555.94,328.1015081576209,1.51478251349871e-17
337996792280904.56,456.10034436515735,1.87763734856612e-22
128185056454404.48,252.1073230440024,7.43636700683749e-19
86703511581.58734,148.41127587282674,3.7227986198749e-16
4080351235.711655,1054.9681708640992,5.4441353100547e-18
72373139654185.58,819.2449207487074,6.93676627788679e-11
30138355248.22008,235.2088635884344,6.33882758866522e-17
4055815865.1541634,282.0628910450291,1.1589900172172698e-18
513050555483500.8,287.36880714317937,1.48888486631445e-43
7372922475.849665,3876.001578561805,7.26850083591035e-17
18114403673179.4,436.6143622382481,1.3170178867280001e-11
621432086787.4437,372.5335550390184,4.54189718004104e-14
87746963591094.44,5428.239448022873,7.58268232523395e-09
11508211680.16186,2322.621327889015,9.310243020484851e-17
3000303317.8252425,353.5158601112251,9.20329368096542e-19
3971183601.960488,318.6365721237659,1.5834715912220799e-18
3096536403035.831,342.6731964638505,8.32895666364593e-13
1469360970130.3826,1371.766405624826,1.0132691365754e-12
80534823076054.06,930.5823480873638,1.35643831058868e-10
134670779316986.88,124.11814439537451,9.69977516874932e-31
231499209014.65295,208.8084882352828,3.0150725460699804e-15
3121419231091.5225,1103.4734302597817,2.54884249701843e-12
34829099730.87147,115.87667583053144,4.26165884448857e-17
12948396850323.838,1063.7123330830004,3.96280223504842e-11
1201629034.7859817,127.1968808472674,6.056249532809e-20
203438346302.82852,1456.751106573157,1.67627062982098e-14
1226324587757.5215,415.2012838578388,2.06138206581477e-13
8489006777823826.0,433.3530014193667,0.0
2382962460993289.0,1332.203941218908,9.267252343367349e-42
6273525922438388.0,618.5825781395648,1.52269923946642e-214
2375565368589488.0,5814.877180278403,5.88720186053361e-13
3569828804.732507,317.8016229582038,1.28416039902148e-18
49194507047.04383,1988.459246697378,1.62337650515621e-15
6097334278072.421,5130.773432675582,5.3587115586741e-11
7186793790.795493,4328.311567652255,5.63885814073617e-17
2888414972.3207374,5701.922415149362,1.39091551897768e-17
489178461599909.9,356.7499620437931,4.97336354135702e-35
44297477452.74482,111.92077243886752,5.55341725974666e-17
77628643743808.8,216.2625430803956,2.18341755914981e-16
190681044836964.6,5376.834709197432,2.40231826038085e-08
365299684752.9517,405.5891935507606,1.7066134399265402e-14
1058000351.4297216,2155.225380857621,7.02140723828772e-19
43117382131529.31,274.8125889796001,5.74312539318212e-13
5398080947663.235,1401.2600250854096,1.09156023385468e-11
73948403659880.2,236.8184875047028,1.70576349569502e-15
54581219762957.84,237.7548989433762,4.23432733153299e-14
40690242420.2223,168.37084719978108,9.70664545140756e-17
9996319791013284.0,2194.846639710739,1.64978878989795e-97
77528748576.26788,2714.1898630478886,4.6897301830908104e-15
17600693924650.902,4713.124673454432,4.701936164705521e-10
169391245973640.6,732.4632448286495,9.21928179387622e-13
13306239881.50224,1536.509438884009,8.47102866489879e-17
132006784586890.6,151.6107850282378,2.68705901165483e-26
294601456834.6811,1267.8935575217236,3.27012620300004e-14
2900323646.8166738,5442.371186888326,1.58105134205476e-17
16237520237.345192,1480.0103896472344,1.44704241227138e-16
1994370009138855.2,826.4062281589758,5.9120050614051794e-55
11717480480.285189,373.60014854487423,1.5105062843034e-17
3005687738975876.5,199.60857121002343,5.71313e-318
44099057161920.586,342.52090659913625,2.5706566198513697e-12
305828959292379.7,2041.3759828132693,3.0426672972655703e-10
1071666520.0548452,173.7142422168087,5.43092950389324e-20
147200362747374.56,1013.5832550281132,4.556147390636e-11
3164894149.180511,3027.643902217711,1.0195679386812201e-17
23127369263762.42,1044.30299844736,1.1147442350653001e-10
1096945950.519747,112.9168910529521,4.28794258868841e-20
4164824904.487692,1897.834541105852,1.00214855710369e-17
8038130358.579359,159.39586202155493,3.0455822838735498e-18
766104806249.2162,1619.2818265805115,2.92920639553578e-13
30736821653464.742,3801.185903444467,8.33762003106888e-10
1119459575654654.4,2773.8885305451963,8.40207586998843e-14
33256251562229.42,3220.7210098221285,7.65613331405303e-10
448497550024431.9,2076.60727423358,3.5826435713645095e-11
8913686901.17136,348.33404645167406,8.3291224143381e-18
6941550325.338034,249.7690821221592,3.6560496620243795e-18
18503552686.65148,1113.5232064765364,1.3644486943642699e-16
3566162438487639.5,188.13359106206272,0.0
401380662691652.0,3308.689393063441,3.20360188278013e-09
